"doc_id","AB","TI","DE","PY","DT","DI","LA"
"MORADI F, 2020, LECT NOTES COMPUT SC","In this work, we present an actor-based approach for security analysis of Cyber-Physical Systems at the design phase. We use Timed Rebeca, an actor-based modeling language, to model the behavior of components and potential attacks, and verify the security properties using Rebeca model checking tool. We employ STRIDE model as a reference for classifying the attacks. To demonstrate the applicability of our approach, we use a Secure Water Treatment (SWaT) system as a case study. We analyze the architecture of the SWaT system using three different attack schemes in which various parts of the system network and physical devices are compromised. In the end, we identify single and combined attack scenarios that violate security properties.","An Actor-Based Approach for Security Analysis of Cyber-Physical Systems","Cyber-Physical Systems (CPS); Cyber security; Attack scenarios; Rebeca; Secure Water Treatment (SWaT); Attack detection",2020,"PROCEEDINGS PAPER","10.1007/978-3-030-58298-2_5","ENGLISH"
"PATTEN T, 2020, PR INT CONF INF WAR","In practice, mitigating cyber risk involves economic analysis-it is not realistic to eliminate all risk, so the goal is to find the most cost-effective mitigations for the most significant risks. This economic analysis, however, requires principled quantification of cyber risk. This paper describes how to enhance attack tree analysis (Schneier, 1999) to enumerate the possible attacks against a specific system and to assign risk values to each attack. This enumeration enables the attacks ruled out by a specific mitigation to be counted, and the corresponding risk reduction to be calculated precisely. Assigning a cost to each mitigation enables risk mitigation to be related to cost. Specifically, a weighted-setcovering analysis reveals the sequence of mitigations that achieve the greatest risk reduction per unit cost. The result of this analysis is a curve that shows how much the cost goes up as the risk comes down, directly revealing how much cyber risk can be mitigated for a specific cost, how much it would cost to mitigate 80% of the cyber risk, etc. This quantitative, objective approach to cyber risk/cost analysis enables stakeholders to allocate their cyber defense resources efficiently. Traditional attack tree representations struggle to scale to large, complex systems. Our approach addresses this issue by representing attack trees using a highly scalable grammar formalism from linguistics. By necessity, linguistic grammars must be extremely compact representations of the large decision spaces associated with languages such as English and Chinese. Mechanisms such as class inheritance and recursion capture the generalizations needed to achieve scalability. In particular, Halliday's (2003) Systemic Functional Grammar is a grammar formalism that retains the functional and graphical nature of traditional attack trees while enhancing scalability. Using Systemic Functional Grammars to represent attack trees enables precise risk/cost analyses to scale to address large, complex systems.","Cyber Attack Grammars for Risk/Cost Analysis","cyber; attack tree; grammar; risk analysis; risk assessment",2020,"PROCEEDINGS PAPER","10.34190/ICCWS.20.040","ENGLISH"
"KUMAR M, 2024, PROD ENG-RES DEV","Additive Manufacturing (AM) offers revolutionary design capabilities but introduces cybersecurity vulnerabilities due to its digital integration. While existing research focuses on cyber threats, a significant gap exists in addressing physical and cyber risks. The current research focuses on cyber threats, but more attention needs to be paid to addressing physical and cyber risks. This paper proposes a new risk assessment framework that considers both physical and cyber threats quantitatively and qualitatively and helps safeguard the AM supply chain. The framework identifies, analyses, and prioritises potential threats based on their characteristics. It also considers the trustworthiness of data and the frequency of reported threats to estimate the likelihood of each threat. The risks are then prioritised based on a combined impact-likelihood score. The framework has been validated on the standard benchmark MITRE CVEs dataset and has proven effective in identifying critical vulnerabilities. This approach empowers manufacturers to proactively deal with security concerns and navigate the complexities of the rapidly evolving AM landscape.","Comprehensive Threat Analysis in Additive Manufacturing Supply Chain: A Hybrid Qualitative and Quantitative Risk Assessment Framework","Additive Manufacturing; Supply Chain Security; Risk Assessment; MITRE CVEs; Threat Analysis",2024,"ARTICLE","10.1007/s11740-024-01283-1","ENGLISH"
"DASS P, 2024, LECT NOTES COMPUT SC","The vision for 6G extends beyond mere communication, incorporating sensing capabilities to facilitate a diverse array of novel applications and services. However, the advent of joint communication and sensing (JCAS) technology introduces concerns regarding the handling of sensitive personally identifiable information (PII) pertaining to individuals and objects, along with external third-party data and disclosure. Consequently, JCAS-based applications are susceptible to privacy breaches, including location tracking, identity disclosure, profiling, and misuse of sensor data, raising significant implications under the European Union's general data protection regulation (GDPR) as well as other applicable standards. This paper critically examines emergent JCAS architectures and underscores the necessity for network functions to enable privacy-specific features in the 6G systems. We propose an enhanced JCAS architecture with new network functions and interfaces, facilitating the management of sensing policies, consent information, and transparency guidelines, alongside the integration of sensing-specific functions and storage for sensing processing sessions. Furthermore, we conduct a comprehensive threat analysis for all interfaces, employing security threat model STRIDE and privacy threat model LINDDUN. We also summarise the identified threats using standard common weakness enumeration (CWE). Finally, we suggest the security and privacy controls as the mitigating strategies to counter the identified threats stemming from the JCAS architecture.","Addressing Privacy Concerns in Joint Communication and Sensing for 6G Networks: Challenges and Prospects","JCAS; Joint communication and sensing; ISAC; ICAS; Integrated communication and sensing; 6G; Threats; Privacy; Security",2024,"PROCEEDINGS PAPER","10.1007/978-3-031-68024-3_5","ENGLISH"
"NAIK N, 2024, LECT NOTE NETW SYST","Novel cybersecurity threats are constantly emerging and posing significant security challenges to organisations; therefore, it is important for organisations to proactively analyse the existing and emerging cybersecurity threats against their systems. Threat modelling methods are very effective in proactively analysing cybersecurity threats and enhancing organisational security policies and defence mechanisms against these cybersecurity threats. Several threat modelling methods have been proposed, and it is important for security experts to select the appropriate threat modelling methods for an organisation according to their specific security challenges and cybersecurity threats. This paper will present a comparative analysis of six threat modelling methods: STRIDE, DREAD, VAST, PASTA, OCTAVE, and LINDDUN. It will provide a concise description of all the aforementioned threat modelling methods, and subsequently, a comparative analysis of these six threat modelling methods for highlighting their relative strengths and limitations.","A Comparative Analysis of Threat Modelling Methods: STRIDE, DREAD, VAST, PASTA, OCTAVE, and LINDDUN","Threat Modelling; Threat Models; Cyberattack; Cyberthreat; Cyber Threat; STRIDE Model; DREAD Model; VAST Model; PASTA Model; OCTAVE Model; LINDDUN Model",2024,"PROCEEDINGS PAPER","10.1007/978-3-031-74443-3_16","ENGLISH"
"CHLUP S, 2023, INFORMATION","The automotive domain is moving away from simple isolated vehicles to interconnected networks of heterogeneous systems forming a complex transportation infrastructure. The additional means of communication result in increased attack surfaces which can be exploited by physical as well as remote attackers if not secured thoroughly. Thus, the automotive sector is exposed to new cyber risk factors. Consequently, joint approaches targeting securing vehicles and infrastructure by identifying and mitigating potential threats for the automotive domain have been developed in several research projects. This paper builds on developments originating from these projects and correlated standards and regulations. Moreover, the extension of an existing threat modeling tool-THREATGET-with a novel automated approach toward attack propagation will be introduced. Therefore, we will conduct an analysis of a real-world example from the automotive domain. Furthermore, we will identify and analyze potential threats and discuss their accumulation to automatically generate an attack tree.","THREATGET: Towards Automated Attack Tree Analysis for Automotive Cybersecurity","automotive cybersecurity; threat modeling; attack trees; risk management",2023,"ARTICLE","10.3390/info14010014","ENGLISH"
"DA S M, 2023, 18TH INTERNATIONAL CONFERENCE ON AVAILABILITY, RELIABILITY & SECURITY, ARES 2023","Industrial Control Systems (ICS) are specific systems that combine information technology (IT) and operational technology (OT). Due to their interconnection and remote accessibility, they become a target for cyberattacks. As a result of their complexity and hetero-geneity in terms of devices and communication protocols, specific security controls and risk analysis methods need to be developed. In particular, in order to reduce the effort of deployment of risk analysis on such complex systems, automated methods need to be provided. This paper deals with automation of the risk identification process for ICS using the STRIDE threat modeling framework. We extend the well-known STRIDE modeling tool, namely Microsoft Threat Modeling Tool (MTMT), with an incremental template dedi-cated to ICS and provide additional tools to automate the analysis using specific vulnerability extraction from Internet CVE databases.","Automated ICS template for STRIDE Microsoft Threat Modeling Tool","MTMT; Security; Cybersecurity; Risk assessment; Risk analysis; SCADA; ICS; IT; OT",2023,"PROCEEDINGS PAPER","10.1145/3600160.3605068","ENGLISH"
"RAHIM F, 2023, INT J SUSTAIN CONSTR","Cybersecurity is a growing concern for smart grids, especially with the integration of solar photovoltaics (PVs). With the installation of more solar and the advancement of inverters, utilities are provided with real-time solar power generation and other information through various tools. However, these tools must be properly secured to prevent the grid from becoming more vulnerable to cyber-attacks. This study proposes a threat modeling and risk assessment approach tailored to smart grids incorporating solar PV systems. The approach involves identifying, assessing, and mitigating risks through threat modeling and risk assessment. A threat model is designed by adapting and applying general threat modeling steps to the context of smart grids with solar PV. The process involves the identification of device assets and access points within the smart grid infrastructure. Subsequently, the threats to these devices were classified utilizing the STRIDE model. To further prioritize the identified threat, the DREAD threat-risk ranking model is employed. The threat modeling stage reveals several high-risk threats to the smart grid infrastructure, including Information Disclosure, Elevation of Privilege, and Tampering. Targeted recommendations in the form of mitigation controls are formulated to secure the smart grid's posture against these identified threats. The risk ratings provided in this study offer valuable insights into the cybersecurity risks associated with smart grids incorporating solar PV systems, while also providing practical guidance for risk mitigation. Tailored mitigation strategies are proposed to address these vulnerabilities. By taking proactive measures, energy sector stakeholders may strengthen the security of their smart grid infrastructure and protect critical operations from potential cyber threats.","Cybersecurity Vulnerabilities in Smart Grids with Solar Photovoltaic: A Threat Modelling and Risk Assessment Approach","Cybersecurity; solar PV; sustainable energy; resilience; STRIDE; DREAD; Microsoft Threat Modeling Tool",2023,"ARTICLE","10.30880/ijscet.2023.14.03.018","ENGLISH"
"FERRO L, 2022, LECT NOTES COMPUT SC","The role of human factors in cybersecurity is an under-explored area that has a lot of potential towards mitigating attacks. As a result, an SLR that explored human factors in cybersecurity, focusing on phishing, revealed five key human factors that were persistent with phishing related attacks or issues. Based on the results of the SLR, further explorations into threat modelling were conducted to determine how to classify human factor related behaviour and the decisions that are likely behind them or lead towards human error. From here, this information was used to develop a human factor-centred threat model called STRIDE-HF that was implemented into a game called Another Week at the Office (AWATO). The results of further testing of AWATO revealed that is an effective tool for improving users awareness of good cybersecurity practices.","AWATO: A Serious Game to Improve Cybersecurity Awareness","Serious game; Cybersecurity; Threat modelling",2022,"PROCEEDINGS PAPER","10.1007/978-3-031-05637-6_33","ENGLISH"
"KLEIN T, 2022, IEEE ACCESS","Vehicular Fog Computing (VFC) facilitates the deployment of distributed, latency-aware services, residing between smart vehicles and cloud services. However, VFC systems are exposed to manifold security threats, putting human life at risk. Knowledge on such threats is scattered and lacks empirical validation. We performed an extensive threat assessment by reviewing literature and conducting expert interviews, leading to a comprehensive threat model with 33 attacks and example security mitigation strategies, among others. We thereby synthesize and extend prior research; provide rich descriptions for threats; and raise awareness of physical attacks that underline importance of the cyber-physical manifestation of VFC.","A Threat Model for Vehicular Fog Computing","Vehicular fog computing; fog computing; threat model; STRIDE; security",2022,"ARTICLE","10.1109/ACCESS.2022.3231189","ENGLISH"
"KRISHNAMOORTHI S, 2021, SADHANA-ACAD P ENG S","Random numbers play a key role in diverse fields of cryptography, stochastic simulations, gaming, etc. Random numbers used in cryptography must satisfy additional properties of forward secrecy. Chaotic systems have been a potential source of random number generators. Both lower (One-dimension) and higher (two, three-dimension) chaotic systems are popularized in the generation of random bit sequences. Higher-order chaotic systems have a higher resistance to attacks owing to multiple dimensional outputs. Logistic map initially designed in one-dimension has been extended to two- dimensions to improve security. This paper proposes to use the concept of biological Gene Dominance to further improvise the randomness of 2D Logistic map. The sequences X and Y are considered to be parent genes that determine the value of parameter 'r' for the next iteration. The scatter plot of the proposed 2D Logistic Map with Gene Dominance (2DLMGD) shows almost uniform distribution of points in the region. The generated sequences are statistically tested using NIST SP 800-22 test suite and the results show that all sequences pass the tests. The random sequences are analysed for key sensitivity, information entropy, linear complexity, correlation to verify their conformity for use in cryptographic applications.","A modernistic approach for chaotic based pseudo random number generator secured with gene dominance","Random number generator; chaotic systems; 2D logistic map; gene dominance; statistical test for randomness; security analysis",2021,"ARTICLE","10.1007/s12046-020-01537-5","ENGLISH"
"DAMIANOU A, 2021, IEEE INT CONF DISTR","Internet of Things has emerged as a key technological enabler for broader socio-technical and socio-economic paradigms, such as smart cities and Circular Economy. However, IoT systems are characterised by constraints and limitations which in order to be overcome they need to be deployed in conjunction and in synergy with other emerging ICT. Distributed Ledger Technologies (DLT) can help overcome challenges pertaining to data immutability, timeliness and security. However, the use of DLT does not satisfactorily mitigate security risks and vulnerabilities per se and currently cybersecurity aspects of IoT systems are addressed in a fragmented way. Furthermore, the conflict between the resource demanding Blockchains and the highly constrained nature of IoT devices hinders implementation efforts of corresponding systems. We consider networked systems that comprise both IoT and DLT technologies via the prism of Intelligent Transportation Systems (ITS). We elicit a three-tier threat model identifying attack vectors at the Device, the Network and the DLT layers. The identified attacks are then ranked by using the DREAD ranking scheme. The use of the threat model is demonstrated on a novel proof-of-concept IoT networked system implemented using the IOTA Tangle distributed ledger, where it helps to critically appraise the design of the system against the most critical attacks. Furthermore, the developed system is among the first in the literature to demonstrate the synergy of IoT and DLT on actual constrained embedded devices. The performance evaluation provides insights showing that such systems can be efficient and suitable for real-life deployment.","Threat Modelling of IoT Systems Using Distributed Ledger Technologies and IOTA","Distributed Ledger Technologies; Internet of Things; Intelligent Vehicles",2021,"PROCEEDINGS PAPER","10.1109/DCOSS52077.2021.00070","ENGLISH"
"ENOCH S, 2021, P REL MAINT S","Model-based evaluation in cybersecurity has a long history. Attack Graphs (AGs) and Attack Trees (ATs) were the earlier developed graphical security models for cybersecurity analysis. However, they have limitations (e.g., scalability problem, state-space explosion problem, etc.) and lack the ability to capture other security features (e.g., countermeasures). To address the limitations and to cope with various security features, a graphical security model named attack countermeasure tree (ACT) was developed to perform security analysis by taking into account both attacks and countermeasures. In our research, we have developed different variants of a hierarchical graphical security model to solve the complexity, dynamicity, and scalability issues involved with security models in the security analysis of systems. In this paper, we summarize and classify security models into the following; graph-based, tree-based, and hybrid security models. We discuss the development of a hierarchical attack representation model (HARM) and different variants of the HARM, its applications, and usability in a variety of domains including the Internet of Things (IoT), Cloud, Software-Defined Networking, and Moving Target Defenses. Moreover, we discuss the pros and cons of each variant of HARM based on its applications and usage. Furthermore, several security metrics have been developed to be used with the graphical security model (including HARMs) to analyze the security posture of the systems and evaluate the effectiveness of defense mechanisms which is also being taken as input into optimization algorithms to compute optimal defense deployment. Thus, we provide the classification of the security metrics, including their discussions. Finally, we highlight existing problems and suggest future research directions in the area of graphical security models and applications. As a result of this work, a decision-maker can understand which type of HARM will suit their network or security analysis requirements.","Model-based Cybersecurity Analysis: Past Work and Future Directions","Attack Graphs; Attack Trees; Evaluation; Security Metrics; Moving Target Defense",2021,"PROCEEDINGS PAPER","10.1109/RAMS48097.2021.9605784","ENGLISH"
"HASAN R, 2021, CONSUM COMM NETWORK","Video Conferencing has emerged as a new paradigm of communication in the age of COVID-19 pandemic. This technology is allowing us to have real-time interaction during the social distancing era. Even before the current crisis, it was increasingly commonplace for organizations to adopt a video conferencing tool. As people adopt video conferencing tools and access data with potentially less secure equipment and connections, meetings are becoming a target to cyber attackers. Enforcing appropriate security and privacy settings prevents attackers from exploiting the system. To design the video conferencing system's security and privacy model, an exhaustive threat model must be adopted. Threat modeling is a process of optimizing security by identifying objectives, vulnerabilities, and defining the plan to mitigate or prevent potential threats to the system. In this paper, we use the widely accepted STRIDE threat modeling technique to identify all possible risks to video conferencing tools and suggest mitigation strategies for creating a safe and secure system.","Towards a Threat Model and Security Analysis of Video Conferencing Systems","Threat Model; Video Conferencing; Security; Pandemic; Cyber Security",2021,"PROCEEDINGS PAPER","10.1109/CCNC49032.2021.9369505","ENGLISH"
"ZHANG Q, 2021, PROCEEDINGS OF THE 30TH ACM INTERNATIONAL CONFERENCE ON INFORMATION & KNOWLEDGE MANAGEMENT, CIKM 2021","Vertical federated learning (VFL) attracts increasing attention due to the emerging demands of multi-party collaborative modeling and concerns of privacy leakage. A complete list of metrics to evaluate VFL algorithms should include model applicability, privacy security, communication cost, and computation efficiency, where privacy security is especially important to VFL. However, to the best of our knowledge, there does not exist a VFL algorithm satisfying all these criteria very well. To address this challenging problem, in this paper, we reveal that zeroth-order optimization (ZOO) is a desirable companion for VFL. Specifically, ZOO can 1) improve the model applicability of VFL framework, 2) prevent VFL framework from privacy leakage under curious, colluding, and malicious threat models, 3) support inexpensive communication and efficient computation. Based on that, we propose a novel and practical VFL framework with black-box models, which is inseparably interconnected to the promising properties of ZOO. We believe that it takes one stride towards designing a practical VFL framework matching all the criteria. Under this framework, we raise two novel asynchronous zeroth-order algorithms for vertical federated learning (AsyREVEL) with different smoothing techniques. We theoretically drive the convergence rates of AsyREVEL algorithms under nonconvex condition. More importantly, we prove the privacy security of our proposed framework under existing VFL attacks on different levels. Extensive experiments on benchmark datasets demonstrate the favorable model applicability, satisfied privacy security, inexpensive communication, efficient computation, scalability and losslessness of our framework.","Desirable Companion for Vertical Federated Learning: New Zeroth-Order Gradient Based Algorithm","Vertical federated learning; vertical federated neural network; zeroth-order optimization; asynchronous parallel",2021,"PROCEEDINGS PAPER","10.1145/3459637.3482249","ENGLISH"
"VITKUS D, 2020, APPL SCI-BASEL","Featured Application This paper proposes a novel approach of knowledge base formation for expert systems, dedicated to IT security risk analysis, using attack trees as a source of information. Automating the conversion of attack trees to a format that expert systems can use can be applied for minimizing time expenses while creating the knowledge base of an expert system and keeping it up to date, and for further applications as a risk assessment tool by small-medium enterprises. Information technology (IT) security risk analysis preventatively helps organizations in identifying their vulnerable systems or internal controls. Some researchers propose expert systems (ES) as the solution for risk analysis automation since risk analysis by human experts is expensive and timely. By design, ES need a knowledge base, which must be up to date and of high quality. Manual creation of databases is also expensive and cannot ensure stable information renewal. These facts make the knowledge base automation process very important. This paper proposes a novel method of converting attack trees to a format usable by expert systems for utilizing the existing attack tree repositories in facilitating information and IT security risk analysis. The method performs attack tree translation into the Java Expert System Shell (JESS) format, by consistently applying ATTop, a software bridging tool that enables automated analysis of attack trees using a model-driven engineering approach, translating attack trees into the eXtensible Markup Language (XML) format, and using the newly developed ATES (attack trees to expert system) program, performing further XML conversion into JESS compatible format. The detailed method description, along with samples of attack tree conversion and results of conversion experiments on a significant number of attack trees, are presented and discussed. The results demonstrate the high method reliability rate and viability of attack trees as a source for the knowledge bases of expert systems used in the IT security risk analysis process.","Method for Attack Tree Data Transformation and Import Into IT Risk Analysis Expert Systems","expert systems; attack trees; risk analysis; information security; JESS; ATTop; Mitre transformation",2020,"ARTICLE","10.3390/app10238423","ENGLISH"
"RAMALINGAM S, 2020, SENSORS-BASEL","IoT systems differ from traditional Internet systems in that they are different in scale, footprint, power requirements, cost and security concerns that are often overlooked. IoT systems inherently present different fail-safe capabilities than traditional computing environments while their threat landscapes constantly evolve. Further, IoT devices have limited collective security measures in place. Therefore, there is a need for different approaches in threat assessments to incorporate the interdependencies between different IoT devices. In this paper, we run through the design cycle to provide a security-focused approach to the design of IoT systems using a use case, namely, an intelligent solar-panel project called Daedalus. We utilise STRIDE/DREAD approaches to identify vulnerabilities using a thin secure element that is an embedded, tamper proof microprocessor chip that allows the storage and processing of sensitive data. It benefits from low power demand and small footprint as a crypto processor as well as is compatible with IoT requirements. Subsequently, a key agreement based on an asymmetric cryptographic scheme, namely B-SPEKE was used to validate and authenticate the source. We find that end-to-end and independent stand-alone procedures used for validation and encryption of the source data originating from the solar panel are cost-effective in that the validation is carried out once and not several times in the chain as is often the case. The threat model proved useful not so much as a panacea for all threats but provided the framework for the consideration of known threats, and therefore appropriate mitigation plans to be deployed.","A Holistic Systems Security Approach Featuring Thin Secure Elements for Resilient IoT Deployments","IoT; secure elements; key management; threat analysis; B-SPEKE; STRIDE; DREAD",2020,"ARTICLE","10.3390/s20185252","ENGLISH"
"SCHAAD A, 2020, LECT NOTES COMPUT SC","Threat Modelling is an accepted technique to identify general threats as early as possible in the software development lifecycle. Previous work of ours did present an open-source framework and web-based tool (OVVL) for automating threat analysis on software architectures using STRIDE. However, one open problem is that available threat catalogues are either too general or proprietary with respect to a certain domain (e.g. .Net). Another problem is that a threat analyst should not only be presented (repeatedly) with a list of all possible threats, but already with some automated support for prioritizing these. This paper presents an approach to dynamically generate individual threat catalogues on basis of the established CWE as well as related CVE databases. Roughly 60% of this threat catalogue generation can be done by identifying and matching certain key values. To map the remaining 40% of our data (50.000 CVE entries) we train a text classification model by using the already mapped 60% of our dataset to perform a supervised machine-learning based text classification. The generated entire dataset allows us to identify possible threats for each individual architectural element and automatically provide an initial prioritization. Our dataset as well as a supporting Jupyter notebook are openly available.","ML-Supported Identification and Prioritization of Threats in the OVVL Threat Modelling Tool","Threat analysis; Vulnerability management; Risk assessment",2020,"PROCEEDINGS PAPER","10.1007/978-3-030-49669-2_16","ENGLISH"
"KOVACEVIC A, 2024, ELECTRONICS-SWITZ","The increasing connectivity and complexity of automotive systems require enhanced mechanisms for firmware updates to ensure security and integrity. Traditional methods are insufficient for modern vehicles that require seamless over-the-air (OTA) updates. Current OTA mechanisms often lack robust security measures, leaving vehicles vulnerable to attacks. This paper proposes an innovative approach based on the use of decentralized identifiers (DIDs) and distributed ledger technology (DLT) for secure OTA firmware updates of on-vehicle software. By utilizing DIDs for unique vehicle identification, as well as verifiable credentials (VCs) and verifiable presentations (VPs) for secure information exchange and verification, the solution ensures the integrity and authenticity of software updates. It also allows for the revocation of specific updates, if necessary, thereby improving overall security. The security analysis applied the STRIDE methodology, which enabled the identification of potential threats, including spoofing, tampering, and privilege escalation. The results showed that our solution effectively mitigates these threats, while a performance evaluation indicated low latency during operations.","Enhancing Security of Automotive OTA Firmware Updates via Decentralized Identifiers and Distributed Ledger Technology","decentralized identifiers; distributed ledger technology; over-the-air updates; automotive security; verifiable credentials; vehicle authentication",2024,"ARTICLE","10.3390/electronics13234640","ENGLISH"
"DAS P, 2024, VEHICLES-BASEL","In modern automobiles, the infotainment system is crucial for enhancing driver and passenger capabilities, offering advanced features such as music, navigation, communication, and entertainment. Leveraging Wi-Fi, cellular networks, NFC, and Bluetooth, the system ensures continuous internet connectivity, providing seamless access to information. However, the increasing complexity of IT connectivity in vehicles raises significant cybersecurity concerns, including potential data breaches and exposure of sensitive information. To enhance security in infotainment systems, this study applied component-level threat modeling to a proposed infotainment system using the Microsoft STRIDE model. This approach illustrates potential component-level security issues impacting privacy and security concerns. The study also assessed these impacts using SAHARA and DREAD risk assessment methodologies. The threat modeling process identified 34 potential security threats, each accompanied by detailed information. Moreover, a comparative analysis is performed to compute risk values for prioritizing treatment, followed by recommending mitigation strategies for each identified threat. These identified threats and associated risks require careful consideration to prevent potential cyberattacks before deploying the infotainment system in automotive vehicles.","STRIDE-Based Cybersecurity Threat Modeling, Risk Assessment and Treatment of an In-Vehicle Infotainment System","cybersecurity; infotainment; threat modeling; risk assessment; threat mitigation",2024,"ARTICLE","10.3390/vehicles6030054","ENGLISH"
"MATHEW M, 2024, INT J CRIT INFR PROT","Industrial control systems (ICSs) are extensively utilized worldwide to control and regulate various processes in energy utilities. It consists of various field devices, control and monitoring devices and communication devices. This paper focuses on the testing and analysis of various attack vectors that could potentially occur in a hardware-in-loop (HIL) Industrial Control System (ICS) testbed designed for a 500 MW thermal power plant. In this testbed, four typical process scenarios have been identified that can be manipulated through cyber-attacks, leading to severe issues such as plant shutdown or even explosions. The four significant plant scenarios recognized include minimal coal mill levels and increased temperatures in the classifier, heightened primary airflow to the coal mill, the tripping of an ID fan, and adjustment of the Super-heater temperature to its lowest setting. Also, we utilize the STRIDE threat modeling methodology to accurately represents the elements of Cyber-Physical Systems (CPS), their inter-dependencies, and the potential attack entry points and system vulnerabilities.","Hardware-in-Loop (HIL) Testbed Design of Thermal Power Plant for Threat Modeling and Attack Vector Analysis","Industrial control system; Security testbed; Attack scenarios; Threat modeling",2024,"ARTICLE","10.1016/j.ijcip.2024.100675","ENGLISH"
"AZAM N, 2023, IEEE GLOB COMM CONF","Data-driven applications and services have been increasingly deployed in all aspects of life including healthcare and medical services in which a huge amount of personal data is collected, aggregated, and processed in a centralised server from various sources. As a consequence, preserving the data privacy and security of these applications is of paramount importance. Since May 2018, the new data protection legislation in the EU/UK, namely the General Data Protection Regulation (GDPR), has come into force and this has called for a critical need for modelling compliance with the GDPR's sophisticated requirements. Existing threat modelling techniques are not designed to model GDPR compliance, particularly in a complex system where personal data is collected, processed, manipulated, and shared with third parties. In this paper, we present a novel comprehensive solution for developing a threat modelling technique to address threats of non-compliance and mitigate them by taking GDPR requirements as the baseline and combining them with the existing security and privacy modelling techniques (i.e., STRIDE and LINDDUN, respectively). For this purpose, we propose a new data flow diagram integrated with the GDPR principles, develop a knowledge base for the non-compliance threats, and leverage an inference engine for reasoning the GDPR non-compliance threats over the knowledge base. Finally, we demonstrate our solution for threats of non-compliance with legal basis and accountability in a telehealth system to show the feasibility and effectiveness of the proposed solution.","Modelling Technique for GDPR-compliance: Toward a Comprehensive Solution","GDPR; Compliance; Modelling; Data Privacy; STRIDE; LINDDUN",2023,"PROCEEDINGS PAPER","10.1109/GLOBECOM54140.2023.10437389","ENGLISH"
"EBRAHIMI M, 2023, LECT NOTES COMPUT SC","We propose a holistic methodology for designing automotive systems that consider security a central concern at every design stage. During the concept design, we model the system architecture and define the security attributes of its components. We perform threat analysis on the system model to identify structural security issues. From that analysis, we derive attack trees that define recipes describing steps to successfully attack the system's assets and propose threat prevention measures. The attack tree allows us to derive a verification and validation (V&V) plan, which prioritizes the testing effort. In particular, we advocate using learning for testing approaches for the black-box components. It consists of inferring a finite state model of the black-box component from its execution traces. This model can then be used to generate new relevant tests, model check it against requirements, and compare two different implementations of the same protocol. We illustrate the methodology with an automotive infotainment system example. Using the advocated approach, we could also document unexpected and potentially critical behavior in our example systems.","A Systematic Approach to Automotive Security","Cybersecurity; Testing; Automotive; Threats",2023,"PROCEEDINGS PAPER","10.1007/978-3-031-27481-7_34","ENGLISH"
"SON S, 2023, INTER CON INFO NETWO","As networks become more complex and large-scale, the types of attacks become more diverse, and the importance of cyber security is increasing. Therefore, a need for security analysis is growing to classify and analyze several cyber attack types to prepare for the attacks. To solve this problem, MITRE presented ATT&CK as an attack classification model that systematically classifies cyber attackers' tactics, techniques, and procedures. Therefore, we review MITRE's ATT&CK in terms of concept and the use cases.","Introduction to MITRE ATT&CK: Concepts and Use Cases",NA,2023,"PROCEEDINGS PAPER","10.1109/ICOIN56518.2023.10048930","ENGLISH"
"VERREYDT S, 2022, 3RD INTERNATIONAL WORKSHOP ON ENGINEERING AND CYBERSECURITY OF CRITICAL SYSTEMS (ENCYCRIS 2022)","Threat modeling is a common technique for the systematic analysis of system designs to uncover security and privacy threats. Popular threat modeling techniques, however, currently only consider a very localized system context, which hinders the discovery of more complex attack scenarios that involve multiple interactions throughout a system. This may lead to the underestimation of threats that are not harmful by themselves but enable multiple other high-risk threats. Furthermore, current risk assessment approaches require stakeholders to take the system as a whole into account when providing inputs, which is tedious and error-prone. This paper introduces relationship-based threat modeling (RBTM). Using explicitly captured threat relationship knowledge, RBTM allows to systematically and automatically generate a threat graph which is then used as input for traceable risk calculations. This removes the need to manually take into account threat relationships during risk assessments and allows stakeholders to clearly identify and communicate the rationale behind the resulting risk values. The outputs of an RBTM analysis were compared to those of a manual one performed by experts to evaluate the soundness of our proposal, which also highlighted the traceability benefits.","Relationship-Based Threat Modeling","Threat modeling; risk management; attack trees; attack graphs",2022,"PROCEEDINGS PAPER","10.1145/3524489.3527303","ENGLISH"
"AIVATOGLOU G, 2021, PROCEEDINGS OF THE 2021 IEEE INTERNATIONAL CONFERENCE ON CYBER SECURITY AND RESILIENCE (IEEE CSR)","Software vulnerabilities have become a major problem for the security analysts, since the number of new vulnerabilities is constantly growing. Thus, there was a need for a categorization system, in order to group and handle these vulnerabilities in a more efficient way. Hence, the MITRE corporation introduced the Common Weakness Enumeration that is a list of the most common software and hardware vulnerabilities. However, the manual task of understanding and analyzing new vulnerabilities by security experts, is a very slow and exhausting process. For this reason, a new automated classification methodology is introduced in this paper, based on the vulnerability textual descriptions from National Vulnerability Database. The proposed methodology, combines textual analysis and tree-based machine learning techniques in order to classify vulnerabilities automatically. The results of the experiments showed that the proposed methodology performed pretty well achieving an overall accuracy close to 80%.","A tree-based machine learning methodology to automatically classify software vulnerabilities","Software Vulnerability categorization; Cyber-security; Machine Learning; Decision Trees; Random Forests; Gradient Boosting",2021,"PROCEEDINGS PAPER","10.1109/CSR51186.2021.9527965","ENGLISH"
